State,Account length,Area code,International plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls
VT,126,415,0,0,226.2,88,140.3,114,208.9,110,6.4,2,0
OR,132,510,0,0,191.9,107,206.9,127,272.0,88,12.6,2,1
NV,81,415,0,28,167.9,147,190.7,105,193.0,103,9.2,6,4
NC,122,415,0,0,180.0,88,145.0,77,233.7,120,11.5,6,2
NJ,46,408,0,0,257.4,67,261.1,91,204.4,107,13.4,5,2
ID,99,408,0,0,159.7,83,155.4,121,255.7,114,8.4,3,1
AL,87,408,0,0,237.2,124,222.6,87,173.3,81,11.0,3,1
AK,108,415,0,0,103.0,129,242.3,103,170.2,89,7.9,3,1
PA,53,415,0,0,205.1,86,160.5,95,149.5,142,10.7,2,3
NV,144,415,1,0,150.0,69,285.9,73,190.6,121,9.4,15,0
AL,91,510,0,23,232.4,97,186.0,88,190.5,128,12.3,3,3
GA,58,408,0,0,165.4,100,115.7,87,193.8,118,12.8,5,2
AR,5,415,0,0,199.2,106,187.3,12,214.0,85,13.3,3,3
MA,97,408,0,0,217.6,81,320.5,51,150.7,110,4.2,3,0
MO,142,415,0,30,154.0,75,165.8,97,270.0,83,10.8,5,1
NY,9,408,0,31,193.8,130,202.6,98,191.2,102,13.3,2,1
AZ,73,415,0,0,175.4,130,248.1,105,122.4,85,12.2,4,0
WV,43,408,0,0,230.2,147,186.7,121,128.4,100,9.2,3,0
NM,122,408,0,33,174.9,103,248.2,105,164.6,116,13.5,3,1
SC,93,415,0,0,190.2,68,262.2,64,130.0,92,8.8,4,0
VT,85,415,0,0,176.4,122,224.9,123,219.6,50,11.5,1,1
LA,87,415,0,0,228.7,90,163.0,99,154.1,90,11.8,3,1
OH,137,408,0,0,144.0,90,181.6,100,128.1,93,12.3,2,0
OR,21,510,0,31,135.9,90,271.0,84,179.1,89,9.5,7,6
KY,104,415,0,0,130.5,77,131.2,117,264.7,63,13.0,6,0
GA,93,408,0,21,134.2,105,162.5,128,186.6,90,11.8,2,4
VT,63,415,0,0,278.0,102,266.4,114,224.1,118,13.1,4,4
OR,161,415,0,0,105.4,70,214.8,122,223.6,126,7.8,5,0
MO,103,408,0,24,111.8,85,239.6,102,268.3,81,6.9,4,1
ND,84,415,0,33,159.1,106,149.8,101,213.4,108,13.0,18,1
MN,92,510,0,0,212.4,105,224.6,118,221.3,105,9.0,4,1
NV,77,415,0,0,142.3,112,306.3,111,196.5,82,9.9,1,1
NY,64,415,1,0,346.8,55,249.5,79,275.4,102,13.3,9,1
FL,159,415,0,15,113.9,102,145.3,146,195.2,137,11.8,9,1
KS,110,415,1,27,267.9,103,263.3,74,178.1,106,8.3,2,1
NV,138,510,0,0,171.4,117,115.2,128,224.5,115,17.0,4,3
NV,178,408,0,0,275.4,150,187.5,62,147.1,126,13.6,3,1
SC,38,415,0,31,197.2,118,249.9,70,298.9,104,3.9,2,0
MI,45,510,0,26,91.7,104,150.6,119,63.3,103,7.7,5,1
TN,70,510,0,0,126.3,99,141.6,106,255.9,96,9.6,2,0
NY,147,510,0,33,251.5,107,234.1,110,213.4,87,10.4,6,3
NV,94,510,0,0,190.6,108,152.3,95,144.7,97,7.5,5,1
IL,179,510,0,0,116.1,101,201.8,99,181.9,103,11.6,5,0
ND,59,510,0,0,179.4,80,232.5,99,175.8,105,14.7,3,0
NC,165,415,0,0,207.7,109,164.8,94,54.5,91,7.9,3,0
MI,133,408,0,0,277.3,138,228.4,117,117.3,103,12.8,4,2
TN,140,415,0,0,125.3,84,167.6,121,260.6,94,8.4,4,1
VT,93,408,0,32,138.1,91,167.3,72,238.9,115,6.8,3,2
DE,64,415,0,27,201.3,101,143.8,89,150.2,127,12.3,3,1
OR,48,415,0,0,190.4,92,317.5,85,133.4,113,8.3,4,2
NY,181,408,0,0,143.3,91,195.5,58,223.3,95,6.0,7,1
MO,168,415,0,42,97.4,57,203.6,98,173.9,124,11.4,2,2
FL,155,415,0,0,181.4,111,167.7,92,168.5,122,11.3,3,3
NY,11,415,0,0,143.4,130,289.4,50,194.0,100,9.7,6,2
ND,182,415,0,0,104.9,111,198.5,120,258.2,91,8.0,5,2
OH,102,415,0,0,114.8,125,81.9,126,304.3,101,12.0,4,0
AL,122,415,0,0,232.5,96,205.5,120,213.7,91,11.9,2,0
SC,41,415,0,0,143.6,117,152.4,108,194.4,110,8.6,3,1
GA,132,415,0,0,176.7,132,244.1,80,176.3,120,9.1,4,2
WY,76,415,0,0,263.4,148,230.3,69,170.6,101,11.4,5,1
HI,115,415,0,33,145.0,72,194.5,157,242.3,138,14.2,3,2
LA,154,510,0,0,166.9,99,154.9,97,189.4,89,7.2,5,0
AR,100,510,0,0,142.5,87,195.7,88,122.1,117,7.8,8,2
AK,146,510,1,0,133.0,65,262.8,93,214.3,128,11.2,3,1
AL,67,415,0,28,95.0,94,291.2,73,159.6,114,10.0,2,2
UT,161,510,1,0,194.2,106,249.4,105,254.9,129,12.9,1,1
KS,70,415,0,0,222.8,114,215.9,113,223.5,122,0.0,0,1
VA,99,415,0,42,216.0,125,232.3,104,215.5,100,9.3,4,2
UT,87,415,0,0,146.3,108,171.8,102,167.5,66,5.3,9,1
IN,87,510,0,0,234.8,85,140.9,91,204.3,93,9.5,5,1
CT,70,408,0,0,198.6,111,213.9,115,171.2,105,10.6,6,2
MO,119,408,0,32,142.6,77,208.2,126,171.0,102,12.0,2,3
RI,87,510,1,0,134.2,80,165.0,71,173.1,102,10.7,5,0
CA,112,415,0,0,111.9,92,114.0,143,146.8,79,14.1,3,5
RI,75,415,0,0,122.8,89,211.3,104,261.4,91,10.7,2,2
CT,150,510,0,0,189.3,77,220.9,105,238.7,117,9.2,5,4
IN,161,510,0,38,240.4,112,201.8,102,206.1,112,16.1,6,0
FL,91,510,1,24,93.5,112,183.4,128,240.7,133,9.9,3,0
KS,124,415,0,0,158.6,104,211.2,77,179.3,104,10.2,8,3
RI,158,510,0,0,220.9,129,242.2,108,233.3,75,6.4,5,0
NV,102,415,0,0,144.4,87,266.5,128,217.6,59,7.1,7,0
UT,85,510,0,0,212.3,107,228.4,103,163.3,116,7.7,3,0
OK,79,510,0,0,147.0,72,165.7,102,243.2,107,8.4,9,1
MN,139,510,0,25,96.2,112,178.9,70,182.1,84,12.9,10,2
NC,103,415,0,0,263.4,118,179.1,69,214.7,112,10.3,2,0
OR,98,415,1,0,12.5,67,256.6,90,169.4,88,7.7,9,1
NH,78,408,0,0,162.3,116,192.4,86,240.6,100,10.1,3,2
AK,50,408,0,0,183.6,107,58.6,118,202.6,99,8.7,3,1
WV,86,415,0,38,123.0,158,133.9,119,138.2,103,13.3,4,1
GA,92,510,0,0,208.0,125,198.9,76,76.4,97,8.6,6,0
NM,174,415,0,0,239.2,72,188.5,124,105.6,116,8.8,3,1
OH,124,510,0,0,193.0,97,89.8,99,172.8,104,15.3,3,1
RI,190,415,0,26,116.7,71,145.9,88,175.1,103,9.9,3,1
HI,101,510,0,0,93.8,127,150.0,104,241.1,116,10.7,2,1
WY,185,415,1,30,154.1,114,118.7,106,258.4,105,12.9,3,2
NY,68,415,0,29,239.5,82,203.8,105,167.8,70,9.9,6,0
KS,117,510,0,25,216.0,140,224.1,69,267.9,112,11.8,4,0
LA,118,408,0,0,187.4,97,177.8,89,233.4,97,12.2,6,1
PA,124,415,0,0,167.4,119,233.2,143,109.6,115,10.3,5,0
NV,22,510,0,0,160.4,108,218.1,88,192.9,115,12.5,4,1
MN,75,415,0,0,143.2,92,209.1,142,173.0,96,11.9,9,1
MO,164,408,0,25,219.1,88,151.5,99,50.1,60,14.3,6,1
ME,177,415,0,0,232.8,106,175.2,97,212.2,77,12.5,7,2
NH,110,408,0,0,162.0,81,247.5,89,155.5,99,8.9,8,0
MN,158,408,0,0,209.9,112,221.3,82,210.0,93,8.2,3,1
OH,114,415,0,0,191.5,88,175.2,78,220.3,118,0.0,0,0
NC,64,408,0,19,291.1,150,226.7,123,219.1,67,7.5,2,1
KY,111,415,0,0,255.9,97,204.1,129,171.3,84,12.3,5,3
MT,60,408,0,0,252.7,97,221.1,121,109.9,100,12.4,4,2
NJ,113,408,0,0,132.1,72,247.5,107,246.2,123,6.9,6,3
FL,109,408,0,0,217.0,115,207.0,142,268.0,106,8.2,4,1
IN,105,510,0,42,101.9,79,223.1,97,241.6,77,12.9,2,0
DE,85,510,0,0,211.5,100,184.6,88,164.3,131,13.3,4,2
AL,131,510,0,0,153.4,86,198.5,81,164.4,83,10.4,3,0
ME,59,510,0,0,166.3,95,239.3,87,123.2,108,10.0,3,2
SD,148,408,0,0,185.2,87,170.4,96,165.1,104,9.5,13,1
VA,210,408,0,0,104.6,121,149.5,71,255.1,67,6.5,8,2
ID,106,510,0,0,274.4,120,198.6,82,160.8,62,6.0,3,1
KY,57,415,0,29,279.9,121,223.1,109,251.7,94,13.0,2,1
ND,98,510,0,0,187.2,127,195.6,88,181.8,129,5.1,4,1
HI,157,415,0,0,276.2,95,165.8,119,151.6,79,2.2,4,3
WI,116,415,0,35,200.4,104,272.8,89,214.5,100,8.3,4,1
WV,30,510,0,0,162.3,96,244.0,122,180.1,89,9.1,4,2
NJ,111,510,0,0,176.9,128,102.8,56,213.7,84,10.5,2,4
KS,52,415,0,0,165.5,78,205.5,89,213.6,124,12.2,6,0
NJ,135,510,0,28,201.4,100,246.5,117,154.8,131,12.9,4,2
NC,86,510,0,0,190.5,115,179.6,130,258.5,89,10.1,5,3
WY,151,510,0,0,235.9,104,80.6,91,212.8,116,5.8,2,3
NY,117,415,0,0,144.6,115,258.8,66,253.2,113,7.4,9,2
ID,82,408,0,0,101.0,93,155.6,104,304.4,93,13.3,2,0
IA,152,415,0,0,206.3,98,292.8,82,43.7,121,10.6,4,1
TN,108,408,0,15,165.1,85,267.0,93,250.7,114,10.9,4,1
OH,98,408,0,0,165.0,129,202.6,113,172.3,94,12.5,7,1
MA,47,415,0,0,155.3,116,188.2,85,247.0,73,12.3,4,3
OK,189,415,0,0,208.3,106,236.7,123,179.1,120,11.3,5,3
NE,159,415,0,0,189.1,105,246.1,147,242.0,106,10.4,5,1
VA,11,408,0,24,131.5,98,230.2,111,283.7,87,10.0,3,2
MT,111,408,0,0,142.3,75,122.8,106,229.5,94,12.8,9,2
VT,99,408,0,19,87.7,103,223.0,86,182.3,112,7.3,4,2
VA,114,415,1,31,174.5,104,224.2,92,116.3,91,12.3,10,2
AL,71,415,0,0,103.3,103,138.5,79,164.8,98,9.0,2,2
AL,100,408,0,25,246.6,94,141.4,112,189.8,109,13.0,5,1
WV,83,415,0,37,78.5,109,210.5,101,179.7,102,11.8,4,1
NV,64,408,0,0,148.1,73,164.9,101,216.0,125,12.3,2,5
TN,105,408,0,0,206.2,84,256.4,138,117.1,91,9.0,3,1
ID,144,415,0,33,251.6,87,197.6,118,209.2,97,12.2,3,2
WY,106,415,1,26,270.3,111,215.2,90,254.0,133,14.4,7,1
TX,19,510,0,34,156.6,97,224.2,97,260.9,135,11.3,1,1
MA,46,408,0,0,139.4,81,223.7,113,173.1,77,13.6,6,1
IL,127,510,0,0,220.2,108,188.4,124,172.7,113,11.7,3,2
LA,9,415,0,39,214.1,108,169.2,115,189.7,117,10.1,3,1
CO,157,415,0,0,196.0,74,213.4,96,196.8,81,7.9,6,1
UT,105,415,0,0,106.4,71,240.1,83,147.7,114,5.3,4,6
ID,31,415,0,0,177.3,129,152.8,105,162.9,92,5.1,2,0
MN,95,408,0,32,262.2,123,165.2,82,194.3,57,10.6,5,0
GA,132,415,0,0,193.3,106,128.3,94,162.1,119,11.6,4,5
HI,119,408,0,24,217.2,94,138.7,52,139.3,85,11.3,4,0
AL,16,408,0,0,209.5,89,172.8,85,94.1,102,8.8,4,1
CT,99,408,0,0,95.4,105,207.2,101,136.0,117,5.6,5,1
CO,76,408,0,26,214.6,110,205.2,87,134.6,140,8.1,2,1
KS,167,415,0,0,131.6,120,211.3,96,168.3,97,11.1,4,4
NJ,129,415,0,0,168.4,117,217.1,129,81.6,100,11.8,7,1
FL,116,408,0,0,146.4,123,176.6,113,212.6,102,7.8,5,1
CA,60,415,1,0,183.0,110,206.7,93,203.8,119,11.1,6,1
TX,47,408,0,28,112.2,70,154.8,106,166.7,105,10.6,2,0
MN,40,510,1,0,170.7,55,179.1,108,281.9,89,8.2,9,3
AK,173,510,0,0,172.5,78,142.6,91,102.0,63,10.9,2,0
OR,157,510,0,30,194.3,107,243.2,108,322.2,114,7.1,5,1
MS,66,408,0,32,187.8,117,129.8,90,132.3,113,12.0,3,2
VT,50,415,1,26,307.1,94,289.4,78,174.9,109,8.0,3,0
UT,72,415,0,0,118.2,106,167.2,136,214.2,106,12.2,3,3
KS,130,510,0,0,154.0,95,205.9,106,233.7,75,12.9,1,1
NV,143,408,0,0,155.5,101,213.4,89,237.9,61,7.6,11,1
TX,32,408,0,0,157.9,88,180.8,132,132.5,102,12.8,3,1
MA,166,415,0,0,203.4,81,167.7,110,132.0,124,9.2,5,2
CA,72,408,0,39,92.8,98,271.2,115,167.1,83,5.8,7,1
IA,134,415,0,32,216.8,78,102.2,111,174.0,83,8.6,2,0
NH,13,415,0,0,193.2,89,194.4,90,186.5,104,9.7,2,4
GA,90,415,0,0,113.2,108,189.3,63,271.8,124,14.1,4,3
WI,111,415,0,36,166.2,54,238.8,109,108.8,92,11.2,2,3
CO,101,408,0,23,262.2,101,157.0,80,129.1,100,7.3,14,1
SC,72,415,0,0,207.8,92,195.7,110,184.8,124,13.1,4,0
MI,67,510,0,35,245.4,89,148.2,102,274.0,136,7.5,6,1
MD,172,408,0,0,287.1,108,178.4,125,153.2,98,14.4,2,3
IN,154,510,0,32,192.3,82,165.3,134,205.0,74,9.0,1,2
ME,69,510,0,0,194.2,122,242.1,81,215.8,80,9.7,3,2
DC,123,415,0,0,211.0,92,217.0,102,214.8,104,9.8,7,3
TN,130,415,0,12,141.9,92,228.9,102,195.1,101,8.7,5,0
FL,142,415,0,26,220.5,94,239.5,126,254.3,109,5.9,9,2
HI,87,408,0,28,143.5,106,223.5,147,175.4,69,11.2,5,0
NE,149,415,0,0,156.0,56,56.0,116,163.3,104,8.9,8,0
TN,146,408,1,0,160.1,63,208.4,112,177.6,98,9.2,3,2
MD,88,415,1,0,235.1,98,251.8,79,285.9,76,7.2,2,4
VT,48,510,0,0,188.4,63,165.9,89,205.7,71,13.2,2,1
OR,135,415,0,0,194.8,97,235.3,118,174.4,126,11.0,3,1
IN,100,510,0,0,247.8,117,130.0,95,134.3,125,6.9,2,1
MO,98,415,0,0,221.2,80,213.6,104,291.8,89,11.9,3,4
FL,75,510,0,26,118.5,86,213.9,118,132.6,99,13.4,3,2
DC,180,415,0,33,231.8,78,232.9,79,206.9,121,7.6,4,1
VT,100,415,0,25,215.9,90,257.9,92,180.2,157,11.6,4,1
OH,119,415,0,35,217.1,92,220.8,134,249.5,93,8.0,5,2
LA,155,408,0,39,183.3,106,205.1,101,263.7,90,5.1,7,1
IL,78,415,1,0,236.8,141,265.3,101,152.4,77,9.5,2,1
NJ,153,415,0,0,193.8,90,195.3,121,182.7,108,8.5,3,1
NE,154,415,0,0,191.4,93,205.4,119,205.7,121,10.2,3,3
WV,48,408,0,0,275.2,67,180.2,108,159.0,110,7.9,2,1
ND,94,408,0,0,174.0,85,241.1,114,207.8,94,7.9,1,1
UT,139,415,0,0,165.0,132,249.7,86,170.3,128,12.6,8,1
MS,126,415,0,0,228.7,102,168.7,99,223.5,100,11.8,4,1
MN,122,415,0,0,107.9,88,235.8,109,228.6,119,9.5,3,2
KS,131,415,0,28,249.6,87,227.2,138,239.9,92,7.6,3,3
KS,36,510,0,0,178.6,83,213.1,103,198.0,119,10.9,5,1
NV,180,510,0,0,139.0,96,224.9,64,170.8,118,15.7,5,2
MT,25,415,0,0,134.3,98,202.3,109,195.9,100,12.6,5,2
AK,120,415,0,0,178.4,97,168.3,113,120.5,93,9.3,9,1
AR,109,510,0,0,170.7,101,240.2,82,119.0,112,11.4,4,2
LA,162,510,0,33,184.5,139,183.2,78,127.4,106,12.3,6,0
KS,124,510,0,37,161.2,109,204.2,79,231.5,87,8.9,4,1
OR,177,408,0,0,84.9,77,257.5,109,210.5,66,7.5,5,2
WI,91,510,0,0,217.9,71,230.1,116,232.1,110,10.6,2,1
CO,105,408,0,0,270.9,98,226.2,110,178.8,60,8.8,5,0
KS,24,510,0,0,243.0,91,183.9,77,184.3,109,15.3,6,0
IA,86,408,0,0,126.3,115,168.8,112,154.6,95,9.8,7,2
NE,91,510,0,0,159.0,109,255.1,142,82.4,73,10.1,4,0
OH,147,415,1,24,219.9,118,208.5,116,352.5,111,8.1,4,3
TN,108,510,0,34,162.1,83,171.8,117,259.8,76,9.6,3,4
OK,159,510,0,0,198.8,107,195.5,91,213.3,120,16.5,7,5
ND,136,510,1,0,256.8,90,230.1,104,143.6,82,9.1,10,3
NC,45,408,0,38,196.8,92,254.2,108,261.8,85,7.7,2,1
MN,122,415,0,0,140.1,120,231.4,128,188.1,127,11.2,5,2
MN,138,415,0,0,194.3,83,189.9,97,232.2,102,9.0,3,5
MA,132,415,0,0,117.6,66,214.0,108,239.5,94,8.8,5,1
GA,58,510,0,0,243.1,105,231.4,108,180.9,120,7.8,4,2
NV,81,415,0,0,145.4,132,129.3,91,186.4,109,5.2,4,1
TX,87,415,0,0,169.1,105,169.9,102,244.9,106,9.9,10,3
ME,116,510,0,0,229.3,93,184.5,111,168.2,91,8.8,3,2
MN,62,510,0,33,186.4,84,201.0,136,286.7,103,11.1,3,2
TN,98,415,0,0,162.8,65,185.0,109,219.5,104,6.0,3,2
RI,107,510,1,0,194.4,83,247.8,84,245.4,93,11.2,7,2
NC,30,510,0,0,145.0,76,240.7,112,197.1,134,7.1,4,3
MA,40,408,0,31,224.7,69,134.5,81,120.3,104,7.5,5,1
TN,72,408,0,0,147.0,79,162.3,103,162.9,80,10.5,4,1
WY,95,415,0,39,260.8,130,213.4,111,195.6,97,10.1,5,1
IA,42,415,0,0,155.4,127,164.1,45,157.7,128,9.0,3,0
IN,86,415,0,0,166.2,112,255.3,81,228.1,97,5.4,7,1
FL,55,510,0,45,130.5,114,208.4,94,141.6,114,11.0,5,4
MT,74,415,0,0,162.7,102,292.0,105,183.3,80,8.7,6,0
ND,81,408,1,37,237.1,76,264.2,125,271.3,120,7.9,3,1
MI,81,408,0,0,166.2,102,217.6,112,220.2,68,13.2,2,4
MT,28,415,0,0,121.7,48,125.8,112,261.6,122,8.3,2,6
AL,111,510,0,0,176.4,62,201.0,124,150.4,138,11.2,2,0
NV,3,510,0,27,67.4,116,244.0,78,281.1,93,11.4,2,2
FL,68,415,0,24,176.0,118,277.9,116,174.7,71,14.7,7,1
NY,163,408,0,0,247.7,77,269.5,108,167.3,82,9.6,7,0
KS,87,510,0,0,115.4,90,262.6,68,245.7,69,13.1,5,2
NC,58,510,0,0,112.2,95,209.6,108,260.9,78,13.9,1,0
MN,109,408,0,0,162.6,138,154.0,109,209.7,118,11.5,4,0
RI,111,415,0,0,229.4,107,214.1,99,289.6,95,10.4,6,4
UT,144,415,0,0,139.6,96,124.2,93,95.6,75,15.0,4,2
OR,135,415,0,0,263.8,66,251.3,116,200.1,112,8.4,2,5
SC,109,415,0,46,217.5,123,233.7,84,163.9,99,9.0,3,4
IL,107,415,0,14,114.3,132,199.8,91,194.7,74,7.5,8,1
OH,149,408,0,0,196.3,108,136.8,96,154.7,87,7.7,3,2
MA,56,510,0,0,253.2,95,188.0,116,142.0,133,4.4,4,1
OR,129,408,0,0,98.0,99,240.7,62,254.8,123,10.5,4,0
CA,92,408,0,0,249.4,118,211.5,95,169.0,116,9.1,3,0
WV,67,415,0,30,129.6,107,233.0,104,297.0,93,14.5,5,1
VT,120,415,0,0,221.3,106,267.6,98,111.5,80,9.3,7,0
GA,76,408,0,0,203.6,61,161.7,127,175.9,97,8.4,3,0
ME,79,415,0,0,213.6,110,234.9,121,229.6,157,8.8,3,2
HI,98,415,0,31,181.6,112,220.7,100,236.3,121,12.9,4,2
AZ,141,510,0,22,215.4,123,328.7,98,160.5,89,7.8,6,1
IA,46,510,0,0,199.2,111,175.1,83,210.6,84,10.2,2,3
CT,137,415,0,0,115.0,130,137.8,83,224.0,61,7.3,4,3
WA,171,408,0,0,270.5,69,230.0,112,136.0,111,9.6,5,1
VA,10,415,0,0,222.2,127,153.1,125,227.4,80,12.9,4,1
CO,88,510,0,0,61.9,78,262.6,114,212.5,110,8.8,2,3
TX,82,415,0,0,189.2,81,184.4,117,255.8,83,10.6,5,3
SD,139,510,0,0,196.0,135,186.0,146,153.0,92,9.8,1,3
VA,87,415,0,0,171.6,119,205.0,107,170.6,114,13.8,4,0
NY,137,415,1,0,174.0,123,161.3,115,260.7,98,11.4,3,2
WA,45,510,0,0,78.6,106,187.3,110,184.2,111,7.4,5,1
TN,103,415,0,0,141.3,123,253.6,87,215.8,96,6.4,2,1
CT,100,415,0,0,235.8,130,176.0,69,63.6,122,7.3,1,2
WA,110,510,0,0,185.1,100,165.1,88,111.6,104,6.3,4,3
NH,124,415,0,0,254.3,113,78.9,104,153.2,69,11.8,2,2
MT,10,510,0,0,183.0,103,214.8,77,206.4,73,8.7,6,2
NE,89,415,0,29,163.5,80,274.8,136,381.9,147,7.5,5,2
WA,121,408,0,0,207.9,98,210.5,96,109.6,114,7.7,2,2
WI,101,415,0,0,248.6,102,174.9,93,207.2,86,6.1,3,3
AR,103,415,0,31,185.4,105,197.6,126,147.1,110,14.5,4,2
WI,51,408,0,0,197.8,60,221.0,64,168.6,134,8.9,5,1
DE,2,415,1,0,132.1,42,138.9,88,192.6,119,9.1,1,2
NH,111,510,0,0,197.1,117,227.8,128,214.0,101,9.3,11,0
VA,118,415,0,0,154.6,112,184.2,105,217.4,102,12.6,5,2
TN,17,510,0,31,153.1,115,185.9,59,224.3,102,10.0,1,6
VA,130,408,0,0,211.2,119,231.1,120,220.9,80,6.3,9,2
AZ,137,415,0,0,141.1,91,147.2,100,254.7,75,8.0,7,2
MT,185,408,0,29,151.1,121,244.7,88,154.4,91,13.8,2,2
OK,101,408,0,0,209.6,107,228.8,96,172.4,85,7.6,2,3
ID,95,415,0,32,247.0,109,125.6,91,226.5,90,10.5,4,3
KS,126,408,0,0,321.3,99,167.9,93,193.6,106,8.0,4,1
MS,124,415,0,0,251.5,85,214.2,98,186.1,71,11.1,6,3
WY,97,510,1,0,236.9,107,157.6,105,241.0,120,7.3,2,0
TX,28,415,0,0,159.7,79,216.7,131,206.7,116,9.3,3,2
WA,90,415,1,0,148.2,96,220.4,111,134.2,97,9.2,1,4
HI,190,408,0,0,150.9,86,268.6,129,179.9,73,14.7,1,1
AK,52,415,0,24,170.9,71,201.4,80,159.0,124,4.1,5,2
MD,73,510,0,0,254.7,80,90.2,79,153.4,60,10.6,8,0
SD,98,415,0,0,0.0,0,159.6,130,167.1,88,6.8,1,4
PA,106,408,1,0,133.7,45,187.8,107,181.9,89,10.7,2,1
NC,111,408,0,0,224.9,117,191.9,127,229.9,97,10.3,3,0
VT,59,408,0,0,151.8,98,209.9,92,266.9,86,11.9,5,1
KY,71,510,0,22,141.4,107,163.0,105,220.0,99,5.6,3,2
WA,55,408,0,0,285.7,124,230.9,106,230.7,140,14.8,7,0
LA,13,415,0,0,58.4,121,262.2,64,159.0,115,11.9,5,1
WA,136,415,0,16,90.4,105,201.3,109,227.1,115,13.1,4,0
ME,123,408,0,0,114.4,91,216.6,123,250.6,102,11.0,3,0
WI,105,408,0,0,147.7,103,222.7,78,163.5,102,12.8,3,2
TX,50,408,0,31,302.7,93,240.5,119,193.9,103,13.6,14,3
IA,118,415,0,0,136.1,120,204.2,103,228.2,90,11.3,4,1
VT,73,415,0,0,217.8,91,220.6,97,277.3,89,10.3,6,1
HI,35,415,0,0,124.2,102,123.9,115,135.7,100,13.1,8,2
WY,64,415,0,0,206.2,76,232.4,76,251.6,96,13.6,2,1
WV,63,510,0,0,132.9,122,67.0,62,160.4,121,9.9,2,3
OK,117,415,0,31,104.9,115,237.6,125,263.4,104,7.7,6,3
CT,115,415,0,0,245.0,97,250.7,75,270.2,124,13.7,8,1
UT,162,408,0,0,184.5,118,224.0,95,180.5,82,11.6,3,1
NY,89,415,0,0,89.5,66,179.3,104,225.1,116,12.3,1,3
VA,94,415,1,0,235.6,131,194.8,107,170.6,93,8.6,4,1
VT,129,408,0,0,186.0,127,262.3,96,98.9,63,11.5,6,4
PA,96,510,0,0,179.5,125,162.3,139,264.5,133,6.6,2,1
SC,108,415,0,0,112.0,105,193.7,110,208.9,93,4.1,4,4
MI,97,408,0,32,168.4,129,225.9,97,191.8,95,8.5,7,0
VT,84,415,0,42,214.3,112,188.2,107,333.5,117,11.3,10,0
OH,65,415,0,0,245.7,139,241.9,113,285.3,117,4.2,5,4
VT,131,415,0,34,156.6,134,71.0,95,261.7,120,13.4,10,1
IL,58,415,1,43,142.8,96,272.3,100,193.4,105,8.9,4,1
WI,54,415,0,0,116.8,119,123.1,123,217.5,101,12.0,2,1
GA,125,415,0,39,236.1,107,289.2,110,175.4,107,9.1,4,2
VT,72,415,0,21,138.1,113,260.1,83,135.4,118,8.2,2,2
CT,141,408,0,0,51.9,108,162.0,83,223.5,115,10.1,3,3
AZ,113,510,0,0,81.3,116,220.6,124,235.7,113,8.9,3,0
SD,20,415,0,35,171.5,98,153.1,127,165.6,125,7.1,3,0
CT,212,415,0,0,126.0,96,144.3,80,302.8,102,7.6,3,1
IN,99,415,1,0,197.2,127,156.0,92,204.1,99,9.9,6,4
OH,94,510,0,0,194.1,62,227.2,54,190.4,115,15.3,4,1
NY,40,510,0,0,115.7,105,127.8,113,107.5,91,9.3,6,1
NE,86,510,0,29,157.2,118,196.3,136,226.7,109,8.4,5,3
OK,101,415,0,0,269.7,85,207.6,86,214.2,107,4.5,15,3
HI,105,510,0,0,227.4,121,268.5,89,143.3,82,13.0,4,1
MD,140,415,1,27,188.9,124,160.9,102,197.7,100,11.5,5,4
VT,101,510,0,0,0.0,0,192.1,119,168.8,95,7.2,4,1
TX,98,408,0,19,110.5,87,227.8,97,243.6,84,11.0,4,1
AZ,104,408,0,0,167.6,116,219.2,112,215.9,94,11.7,2,4
VA,115,415,0,0,132.0,90,197.5,75,175.8,114,0.0,0,3
NE,70,415,0,0,213.4,86,204.7,77,256.6,101,5.7,4,1
KY,126,510,0,0,175.4,120,98.3,71,201.9,93,10.6,1,0
NV,87,510,0,39,82.6,113,224.4,63,163.6,88,9.5,1,3
MO,86,415,0,0,125.5,139,269.8,93,235.8,110,8.9,8,1
NJ,1,415,0,30,183.1,95,232.6,110,248.3,110,8.4,2,0
NH,133,408,0,0,162.1,91,212.1,94,260.4,78,12.2,5,1
NC,103,510,0,0,166.6,84,192.4,91,167.9,115,7.7,6,1
MT,131,415,0,24,135.9,60,233.2,78,210.6,121,9.4,4,1
LA,99,510,0,0,142.3,89,204.5,95,203.1,114,9.1,1,0
NV,27,510,0,0,177.6,121,296.8,92,192.9,106,7.6,3,3
AK,141,408,0,0,83.2,74,190.6,104,150.5,79,10.7,7,1
OH,29,415,1,37,235.0,101,183.3,79,139.8,106,5.7,7,2
NM,65,415,0,0,105.7,95,141.8,100,180.5,105,6.6,12,2
MI,81,415,1,0,149.4,68,171.9,98,214.5,97,17.9,3,3
MN,37,415,0,20,264.7,81,216.5,110,210.7,102,10.4,7,0
WY,107,510,0,31,160.3,45,221.5,70,261.6,109,5.6,1,1
WY,127,415,1,28,95.9,117,159.5,131,152.8,132,10.4,3,1
WA,78,408,0,0,140.7,77,195.2,114,252.9,107,11.7,5,0
RI,176,415,0,0,250.9,108,171.4,100,148.6,85,9.6,6,2
